---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 36-2  5.551e+02  [-18 1.171e-01 3.900e-02 9.592e-03]  !2550 0 96!
 ST 36-3  5.584e+02  [-48 3.687e-03 1.228e-03 3.295e-02]  !2550 0 96!
 ST 36-4  5.618e+02  [-72 2.445e-04 8.144e-05 6.731e-02]  !2550 0 96!
 ST 37-1  5.654e+02  [0 1.000e+00 2.432e-01 9.811e-03]  !2550 0 95!
 ST 37-2  5.689e+02  [-14 1.847e-01 4.492e-02 1.012e-02]  !2550 0 94!
 ST 37-3  5.723e+02  [-45 5.601e-03 1.362e-03 3.696e-02]  !2550 0 94!
 ST 37-4  5.757e+02  [-68 3.665e-04 8.914e-05 6.817e-02]  !2550 0 96!
 ST 38-1  5.791e+02  [0 1.000e+00 5.548e-01 3.616e-03]  !2550 0 96!
 ST 38-2  5.825e+02  [-31 2.714e-02 1.505e-02 2.197e-02]  !2550 0 96!
 ST 38-3  5.859e+02  [-56 1.466e-03 8.133e-04 5.698e-02]  !2550 0 96!
 ST 38-4  5.897e+02  [-80 9.749e-05 5.409e-05 9.388e-02]  !2550 0 95!
 ST 39-1  5.941e+02  [0 1.000e+00 4.764e-01 4.859e-03]  !2550 0 96!
 ST 39-2  5.988e+02  [-27 4.334e-02 2.065e-02 2.178e-02]  !2550 0 97!
 ST 39-3  6.028e+02  [-48 3.650e-03 1.739e-03 4.062e-02]  !2550 0 96!
 ST 39-4  6.070e+02  [-73 2.224e-04 1.059e-04 7.561e-02]  !2550 0 95!
 ST 39-5  6.112e+02  [-95 1.738e-05 8.279e-06 9.880e-02]  !2550 0 96!
 ST 40-1  6.150e+02  [0 1.000e+00 1.862e-01 1.356e-02]  !2550 0 97!
 ST 40-2  6.188e+02  [-12 2.344e-01 4.364e-02 1.229e-02]  !2550 0 95!
 ST 40-3  6.232e+02  [-40 9.786e-03 1.822e-03 3.591e-02]  !2550 0 97!
 ST 40-4  6.275e+02  [-61 8.012e-04 1.492e-04 6.241e-02]  !2550 0 96!
 ST 40-5  6.316e+02  [-85 5.096e-05 9.487e-06 1.345e-01]  !2550 0 97!
 ST 41-1  6.356e+02  [0 1.000e+00 2.905e-01 6.376e-03]  !2550 0 97!
 ST 41-2  6.395e+02  [-21 8.836e-02 2.566e-02 1.403e-02]  !2550 0 94!
 ST 41-3  6.433e+02  [-50 3.095e-03 8.990e-04 4.648e-02]  !2550 0 96!
 ST 41-4  6.475e+02  [-72 2.309e-04 6.706e-05 7.762e-02]  !2550 0 95!
 ST 42-1  6.529e+02  [0 1.000e+00 6.263e-01 2.120e-03]  !2550 0 97!
 ST 42-2  6.579e+02  [-33 2.065e-02 1.293e-02 1.333e-02]  !2550 0 96!
 ST 42-3  6.619e+02  [-62 7.833e-04 4.906e-04 3.571e-02]  !2550 0 95!
 ST 42-4  6.654e+02  [-89 3.171e-05 1.986e-05 7.920e-02]  !2550 0 96!
 ST 43-1  6.694e+02  [0 1.000e+00 2.633e-01 8.529e-03]  !2550 0 97!
 ST 43-2  6.731e+02  [-18 1.229e-01 3.235e-02 1.498e-02]  !2550 0 96!
 ST 43-3  6.766e+02  [-44 5.667e-03 1.492e-03 4.067e-02]  !2550 0 94!
 ST 43-4  6.801e+02  [-66 4.674e-04 1.230e-04 7.260e-02]  !2550 0 96!
 ST 43-5  6.837e+02  [-89 3.452e-05 9.088e-06 1.508e-01]  !2550 0 95!
 ST 44-1  6.871e+02  [0 1.000e+00 2.044e-01 1.241e-02]  !2550 0 96!
 ST 44-2  6.907e+02  [-15 1.594e-01 3.258e-02 1.658e-02]  !2550 0 96!
 ST 44-3  6.941e+02  [-40 9.115e-03 1.863e-03 3.757e-02]  !2550 0 96!
 ST 44-4  6.981e+02  [-62 7.187e-04 1.469e-04 7.138e-02]  !2550 0 97!
 ST 44-5  7.019e+02  [-85 5.235e-05 1.070e-05 1.473e-01]  !2550 0 96!
 ST 45-1  7.063e+02  [0 1.000e+00 3.974e-01 5.022e-03]  !2550 0 97!
 ST 45-2  7.106e+02  [-27 4.047e-02 1.608e-02 2.124e-02]  !2550 0 96!
 ST 45-3  7.145e+02  [-53 2.194e-03 8.720e-04 5.460e-02]  !2550 0 95!
 ST 45-4  7.183e+02  [-76 1.449e-04 5.760e-05 8.761e-02]  !2550 0 96!
 ST 46-1  7.216e+02  [0 1.000e+00 4.341e-01 4.740e-03]  !2550 0 96!
 ST 46-2  7.255e+02  [-28 3.594e-02 1.560e-02 2.185e-02]  !2550 0 97!
 ST 46-3  7.292e+02  [-52 2.287e-03 9.929e-04 4.303e-02]  !2550 0 96!
 ST 46-4  7.327e+02  [-77 1.266e-04 5.496e-05 7.562e-02]  !2550 0 94!
 ST 47-1  7.362e+02  [0 1.000e+00 1.542e-01 1.513e-02]  !2550 0 95!
 ST 47-2  7.397e+02  [-13 2.014e-01 3.105e-02 1.417e-02]  !2550 0 94!
 ST 47-3  7.433e+02  [-41 8.317e-03 1.282e-03 4.145e-02]  !2550 0 94!
 ST 47-4  7.470e+02  [-65 5.610e-04 8.649e-05 6.607e-02]  !2550 0 95!
 ST 48-1  7.510e+02  [0 1.000e+00 1.786e-01 9.989e-03]  !2550 0 97!
 ST 48-2  7.555e+02  [-17 1.281e-01 2.288e-02 1.308e-02]  !2550 0 97!
 ST 48-3  7.589e+02  [-47 4.270e-03 7.627e-04 4.379e-02]  !2550 0 96!
 ST 48-4  7.632e+02  [-71 2.642e-04 4.718e-05 7.277e-02]  !2550 0 96!
 ST 49-1  7.669e+02  [0 1.000e+00 4.189e-01 2.419e-03]  !2550 0 96!
 ST 49-2  7.706e+02  [-34 1.948e-02 8.162e-03 1.520e-02]  !2550 0 95!
 ST 49-3  7.755e+02  [-63 6.353e-04 2.661e-04 4.808e-02]  !2550 0 97!
 ST 49-4  7.804e+02  [-89 3.230e-05 1.353e-05 8.600e-02]  !2550 0 95!
 ST 50-1  7.852e+02  [0 1.000e+00 1.943e-01 1.061e-02]  !2550 0 97!
 ST 50-2  7.901e+02  [-18 1.161e-01 2.255e-02 1.718e-02]  !2550 0 95!
 ST 50-3  7.943e+02  [-45 5.149e-03 1.000e-03 4.331e-02]  !2550 0 95!
 ST 50-4  7.981e+02  [-69 3.295e-04 6.402e-05 7.541e-02]  !2550 0 94!
